parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
"natural[99,1]",0.0436429,0.000510805,0.0514714,0.0319486,0.00162127,0.0312525,0.128137,13215.1,10543.3,4.11483,0.999955,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[99,2]",0.352238,0.00379375,0.257712,0.193207,0.0881954,0.271252,0.873496,3919.16,9169.95,1.22032,1.00029,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[99,3]",0.198251,0.00439173,0.267631,0.0768455,0.0021412,0.0564353,0.823673,3262.19,9712.46,1.01576,1.0002,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[99,4]",0.447814,0.00290313,0.398825,0.400058,-0.197548,0.440996,1.10549,18998.3,13294.0,5.91556,1.00001,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[100,1]",0.67679,0.00163114,0.211116,0.239563,0.297523,0.705404,0.96569,15345.4,11034.2,4.77812,0.999966,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[100,2]",0.552237,0.00147976,0.207482,0.204611,0.242395,0.534913,0.917411,18014.3,9759.99,5.60917,1.00015,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[100,3]",0.019417,0.000219857,0.0267989,0.0123265,0.00057988,0.0104391,0.0681729,17004.6,12081.3,5.29476,1.00044,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[100,4]",2.84885,0.00510055,0.807473,0.798909,1.6071,2.8028,4.24665,26344.7,12428.4,8.20303,0.999901,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[101,1]",0.0619091,0.000489973,0.0496319,0.0296467,0.00392464,0.0565524,0.135859,8839.29,5993.53,2.75231,1.00049,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[101,2]",0.691471,0.0113826,0.552411,0.551819,0.0858688,0.550004,1.75704,1971.98,5873.08,0.614022,1.00128,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
