parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[15,4]",3.32414,0.0251744,2.19578,1.8963,0.673606,2.79407,7.65779,10442.4,5514.12,7.59842,1.00025,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[16,1]",0.0814981,0.00085953,0.0708636,0.0506013,0.00987583,0.0607049,0.229059,6375.77,5755.86,4.63933,1.00028,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[16,2]",0.177725,0.000966188,0.092253,0.082186,0.0614767,0.160245,0.350359,8172.62,5229.04,5.9468,1.0002,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[16,3]",5.84191,0.0275345,2.15826,2.0523,2.86279,5.54696,9.80995,7208.4,4808.19,5.24519,1.00116,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[16,4]",1.87911,0.0196357,1.61137,1.20629,0.162617,1.45441,5.08264,9795.21,5238.58,7.12748,1.00024,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[17,1]",0.103546,0.00102456,0.0628435,0.0612265,0.0196406,0.0948152,0.219517,3649.62,4263.42,2.65565,1.00316,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[17,2]",0.9999,0.00531927,0.412079,0.365244,0.443223,0.936458,1.75844,5321.38,5463.05,3.8721,1.00031,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[17,3]",2.54007,0.0167709,1.08221,0.887031,1.27059,2.29819,4.61461,5161.93,5017.96,3.75608,1.00166,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[17,4]",0.219998,0.00216686,0.168001,0.192682,0.00728634,0.200708,0.49986,5463.9,5364.4,3.97581,1.00058,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[18,1]",0.0455564,0.000588425,0.04065,0.0286984,0.00543927,0.0340308,0.124678,4210.98,4601.48,3.06412,1.00094,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[18,2]",0.268016,0.00130221,0.123368,0.106823,0.117044,0.241629,0.509243,8362.88,6571.64,6.08525,1.00041,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[18,3]",7.51665,0.0289282,2.36293,2.33133,3.98194,7.33259,11.7535,6945.09,5350.83,5.05359,1.00035,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
